place,magnitude,time,latitude,longitude,depth
"26 km WNW of Hebgen Lake Estates, Montana",0.98,2015-10-04 15:48:19.760,44.8775,-111.4888333,13.0
"46 km E of Fort Bidwell, California",1.2,2015-10-04 15:46:59.186,41.8667,-119.5971,3.9
"46 km N of Valdez, Alaska",1.3,2015-10-04 15:43:25.464,61.5475,-146.4222,25.8
"11 km SE of Challis, Idaho",2.04,2015-10-04 15:42:12.600,44.4486667,-114.1158333,5.89
"59 km WNW of Stevens Village, Alaska",0.9,2015-10-04 15:40:54.435,66.1359,-150.3666,18.4
"27 km E of Honaunau-Napoopoo, Hawaii",0.86,2015-10-04 15:35:18.030,19.4246667,-155.608,-1.224
"40 km NW of Carlin, Nevada",0.8,2015-10-04 15:30:25.376,41.0067,-116.3822,0.0
"12km SSW of Alberto Oviedo Mota, B.C., MX",2.87,2015-10-04 15:30:11.950,32.1208333,-115.2071667,24.15
"41 km NNW of Valdez, Alaska",0.9,2015-10-04 15:22:20.207,61.4689,-146.6512,28.3
"20 km N of Condon, Montana",0.11,2015-10-04 15:16:22.960,47.7133333,-113.6935,3.31
"50 km W of Nanwalek, Alaska",1.6,2015-10-04 15:14:24.448,59.3493,-152.812,84.7
"3 km N of Moose Pass, Alaska",1.1,2015-10-04 15:02:13.356,60.5214,-149.3609,14.9
"26 km SSW of Ester, Alaska",1.6,2015-10-04 14:58:05.670,64.6129,-148.1429,11.3
"99 km ENE of Hihifo, Tonga",4.8,2015-10-04 14:57:42.180,-15.626,-172.9284,10.0
"113 km NW of Yakutat, Alaska",0.5,2015-10-04 14:55:45.871,60.263,-141.1656,0.0
"50 km NW of Yakutat, Alaska",1.4,2015-10-04 14:55:43.132,59.9072,-140.2831,24.3
"14 km NE of El Pedregal, Peru",5.3,2015-10-04 14:50:34.390,-16.2684,-72.1052,92.0
"44 km E of Fort Bidwell, California",3.0,2015-10-04 14:30:34.057,41.8655,-119.6136,9.2
"9 km SSE of Cantwell, Alaska",1.1,2015-10-04 14:26:12.569,63.3143,-148.8987,82.3
"13 km W of Ault Field, Washington",1.2,2015-10-04 14:25:52.410,48.3368333,-122.8535,17.47
"29 km SE of Minto, Alaska",0.3,2015-10-04 14:23:36.106,64.9814,-148.8561,15.2
"162 km ESE of Ishinomaki, Japan",4.5,2015-10-04 14:23:21.310,37.7361,142.9359,10.0
"139 km WSW of Pelican, Alaska",2.2,2015-10-04 14:19:00.323,57.7121,-138.5245,11.9
"47 km N of Valdez, Alaska",1.2,2015-10-04 14:12:17.496,61.5539,-146.4301,30.1
"6 km N of Benton, California",0.9,2015-10-04 14:08:43.786,37.8776,-118.4674,10.7
"8km NW of Anza, CA",0.35,2015-10-04 14:08:24.120,33.595,-116.7418333,12.11
"41 km N of Valdez, Alaska",1.1,2015-10-04 14:01:08.743,61.5025,-146.4367,28.6
"21km ENE of Coso Junction, CA",0.26,2015-10-04 13:56:15.100,36.0876667,-117.72,1.97
"37 km SSE of Morton, Washington",1.54,2015-10-04 13:54:23.130,46.2513333,-122.06,10.47
"14km WNW of Anza, CA",0.35,2015-10-04 13:52:22.590,33.6046667,-116.8096667,9.31
"61 km SW of Brisas Barra de Suchiate, Mexico",4.3,2015-10-04 13:50:15.500,14.2157,-92.6932,33.76
"53 km NW of San Antonio de los Cobres, Argentina",4.3,2015-10-04 13:47:30.370,-23.8804,-66.6896,200.13
"56 km S of King Cove, Alaska",1.7,2015-10-04 13:47:16.417,54.5517,-162.2305,21.9
"16 km SSE of Tres Pinos, California",1.37,2015-10-04 13:45:52.230,36.6481667,-121.264,2.511
"28 km W of Livengood, Alaska",0.3,2015-10-04 13:45:49.026,65.5223,-149.163,10.0
"11 km SSW of Furnace Creek, California",0.2,2015-10-04 13:41:31.328,36.3456,-116.8812,8.2
"25 km NE of Harding-Birch Lakes, Alaska",1.0,2015-10-04 13:40:17.842,64.51,-146.1886,0.3
"45 km E of Fort Bidwell, California",3.3,2015-10-04 13:28:19.765,41.8654,-119.599,9.8
"56 km SSW of Adak, Alaska",2.4,2015-10-04 13:20:00.700,51.4456,-177.0595,38.1
"54 km SSW of Skwentna, Alaska",1.1,2015-10-04 13:11:30.941,61.5622,-151.8913,15.0
"8km SSW of Idyllwild, CA",0.61,2015-10-04 13:09:24.670,33.6716667,-116.7353333,13.88
"6 km WNW of Cobb, California",0.75,2015-10-04 13:04:44.870,38.839,-122.8,-0.93
"Bonin Islands, Japan region",4.7,2015-10-04 12:55:50.830,27.6329,143.0613,29.59
"63 km SSE of Ugashik, Alaska",1.7,2015-10-04 12:47:14.837,56.9742,-157.0693,9.6
"55 km S of Denali National Park, Alaska",1.4,2015-10-04 12:46:59.122,63.0539,-151.5439,1.5
"77 km E of McCarthy, Alaska",0.7,2015-10-04 12:45:50.958,61.5139,-141.482,20.5
"42 km WNW of Ovalle, Chile",4.0,2015-10-04 12:16:36.000,-30.446,-71.601,28.9
"114 km SSE of Ugashik, Alaska",2.8,2015-10-04 12:09:54.377,56.6093,-156.5141,47.9
"21 km NNW of Skwentna, Alaska",1.2,2015-10-04 12:06:58.486,62.171,-151.5399,81.6
"31 km N of Sutton-Alpine, Alaska",1.6,2015-10-04 11:56:00.727,62.0609,-148.8161,34.4
"6 km SSE of San Juan Bautista, California",0.8,2015-10-04 11:45:15.980,36.7908333,-121.5136667,5.52
"47 km NNW of Petersville, Alaska",1.1,2015-10-04 11:44:26.931,62.8758,-151.2068,108.9
"3 km NNW of Freeport, Kansas",2.5,2015-10-04 11:35:16.730,37.2255,-97.8738,3.39
"53 km NNW of Petersville, Alaska",1.6,2015-10-04 11:16:12.139,62.9176,-151.277,108.7
"96 km SSW of Nikolski, Alaska",2.4,2015-10-04 11:13:24.594,52.1489,-169.4414,38.5
"30 km W of Livengood, Alaska",0.8,2015-10-04 10:56:44.127,65.5419,-149.1989,11.7
"23 km E of Honaunau-Napoopoo, Hawaii",0.87,2015-10-04 10:52:18.980,19.477,-155.6458333,4.977
"34 km ESE of West Yellowstone, Montana",1.7,2015-10-04 10:51:48.560,44.5785,-110.6805,5.66
south of the Fiji Islands,4.2,2015-10-04 10:49:05.930,-23.4778,-179.8575,533.72
"27 km ENE of Tecopa, California",1.2,2015-10-04 10:46:49.977,35.9379,-115.9466,0.0
"8km WSW of Ludlow, CA",1.83,2015-10-04 10:33:48.260,34.698,-116.2401667,2.96
"56 km WNW of Anchor Point, Alaska",1.7,2015-10-04 10:29:20.116,59.9616,-152.7629,101.3
"23 km E of Honaunau-Napoopoo, Hawaii",0.86,2015-10-04 10:19:49.720,19.482,-155.6461667,4.91
"3 km SSW of Jet, Oklahoma",2.7,2015-10-04 10:17:11.200,36.6348,-98.2014,6.046
"41 km W of Ovalle, Chile",5.0,2015-10-04 10:11:56.000,-30.656,-71.627,29.9
"90 km SE of Kingston, Nevada",2.2,2015-10-04 10:08:15.061,38.7152,-116.2451,0.4
"8km SSW of Borrego Springs, CA",1.31,2015-10-04 09:57:35.990,33.1868333,-116.4008333,13.28
"8km SSW of Borrego Springs, CA",1.46,2015-10-04 09:57:29.900,33.185,-116.4075,11.94
"4 km NNW of West Bishop, California",0.42,2015-10-04 09:50:55.670,37.4018333,-118.4738333,12.872
south of the Kermadec Islands,4.6,2015-10-04 09:50:13.070,-32.9777,-178.1886,9.89
"45 km E of Fort Bidwell, California",1.0,2015-10-04 09:50:08.877,41.8758,-119.6078,4.9
"35 km S of Funny River, Alaska",1.3,2015-10-04 09:47:52.687,60.1886,-150.6468,44.2
"282 km E of Levuka, Fiji",4.1,2015-10-04 09:43:26.270,-18.1179,-178.0172,583.49
"6 km NNW of Volcano, Hawaii",2.1,2015-10-04 09:39:09.940,19.4965,-155.262,28.845
"77 km S of McCarthy, Alaska",1.1,2015-10-04 09:36:46.357,60.7489,-142.6411,0.0
"129 km SSE of McCarthy, Alaska",0.6,2015-10-04 09:29:23.931,60.328,-142.1576,9.0
"28 km NNE of Nikolai, Alaska",1.1,2015-10-04 09:28:37.000,63.2498,-154.1541,7.3
"7 km W of Sandy, Oregon",0.87,2015-10-04 09:27:49.550,45.4085,-122.3581667,20.03
"16 km SW of Aspen Springs, California",0.61,2015-10-04 09:27:01.810,37.4533333,-118.8455,5.12
"47 km NNE of Cruz Bay, U.S. Virgin Islands",2.4,2015-10-04 09:25:41.600,18.7089,-64.5863,28.0
"4 km SW of Cobb, California",1.01,2015-10-04 09:17:48.410,38.7924995,-122.7493362,1.364
"9 km N of Wai‘?hinu, Hawaii",1.41,2015-10-04 09:17:04.990,19.1523333,-155.628,1.61
"Rat Islands, Aleutian Islands, Alaska",2.4,2015-10-04 09:15:14.100,51.7751,178.4432,97.9
"42 km SSE of Nelchina, Alaska",1.2,2015-10-04 09:06:58.862,61.6398,-146.4359,34.4
"8km NW of Anza, CA",1.08,2015-10-04 09:06:44.580,33.5973333,-116.7438333,11.83
"50 km WSW of Ovalle, Chile",4.1,2015-10-04 09:06:41.190,-30.8202,-71.6631,35.62
"113 km NW of Yakutat, Alaska",1.1,2015-10-04 09:05:01.215,60.1959,-141.293,0.0
"37 km E of Big Pine, California",0.6,2015-10-04 09:02:36.846,37.2069,-117.876,13.8
"58 km ESE of Yilan, Taiwan",4.6,2015-10-04 08:59:09.530,24.5582,122.2902,76.89
"54 km WNW of Happy Valley, Alaska",2.0,2015-10-04 08:57:41.673,60.0889,-152.6596,89.9
"5 km NW of Dixon Lane-Meadow Creek, California",0.35,2015-10-04 08:53:04.640,37.419,-118.4681667,8.912
"50 km NE of Tonopah, Nevada",2.3,2015-10-04 08:48:39.032,38.4318,-116.8824,6.4
south of the Kermadec Islands,4.7,2015-10-04 08:48:32.420,-33.8853,-178.5219,10.0
"23 km E of Honaunau-Napoopoo, Hawaii",0.85,2015-10-04 08:47:57.250,19.475,-155.6423333,3.78
"64 km WSW of Salamatof, Alaska",1.4,2015-10-04 08:43:35.725,60.4749,-152.4517,89.5
"18 km SSW of Circleville, Utah",0.78,2015-10-04 08:36:04.240,38.0306667,-112.3865,3.19
"23 km SSE of Denali National Park, Alaska",1.4,2015-10-04 08:35:27.102,63.3517,-151.5013,9.8
"4 km N of Hollister, California",1.13,2015-10-04 08:31:55.590,36.8903333,-121.4025,8.85
"203 km ESE of António Enes, Mozambique",4.6,2015-10-04 08:28:51.400,-16.6529,41.7629,10.0
"7 km ENE of Badger, Alaska",0.2,2015-10-04 08:28:44.108,64.8163,-147.3895,12.7
"7 km NNE of Helena Valley Northwest, Montana",1.57,2015-10-04 08:27:08.180,46.7901667,-112.021,1.86
"2km NNW of San Jacinto, CA",0.55,2015-10-04 08:26:10.530,33.8031667,-116.9658333,12.57
"68 km NE of Cruz Bay, U.S. Virgin Islands",2.3,2015-10-04 08:23:28.500,18.753,-64.3168,36.0
"2 km N of Sabana Eneas, Puerto Rico",1.8,2015-10-04 08:10:37.300,18.1072,-67.0824,24.0
"17 km ESE of Yosemite Valley, California",1.32,2015-10-04 08:09:19.390,37.6993333,-119.3903333,3.974
"43 km E of Fort Bidwell, California",1.5,2015-10-04 08:02:20.323,41.8787,-119.6323,8.6
"43 km E of Fort Bidwell, California",1.7,2015-10-04 08:01:44.724,41.8817,-119.6329,10.3
"15 km NW of Ninilchik, Alaska",1.1,2015-10-04 07:58:59.099,60.1311,-151.8895,66.2
"14km ENE of Borrego Springs, CA",1.39,2015-10-04 07:53:25.250,33.2883333,-116.231,10.26
"97 km N of Charlotte Amalie, U.S. Virgin Islands",3.0,2015-10-04 07:47:36.100,19.2161,-64.8158,56.0
South Sandwich Islands region,4.5,2015-10-04 07:45:43.700,-57.8536,-25.4046,46.67
"75 km WSW of Atka, Alaska",2.6,2015-10-04 07:45:26.000,52.0288,-175.2743,67.9
"6 km NNE of Hunter, Oklahoma",2.5,2015-10-04 07:44:31.600,36.6185,-97.6429,5.822
"7 km NNE of Mayfield, Kansas",1.71,2015-10-04 07:41:33.980,37.3226667,-97.5135,1.21
"8 km WNW of Cobb, California",1.23,2015-10-04 07:35:16.600,38.8466667,-122.8203333,2.078
"56 km SSW of Skwentna, Alaska",2.7,2015-10-04 07:26:23.371,61.5511,-151.9192,4.1
"6 km N of Big Lake, Alaska",1.5,2015-10-04 07:02:18.077,61.581,-149.9639,44.0
"61 km NW of Petersville, Alaska",0.8,2015-10-04 07:01:21.666,62.9067,-151.576,0.6
south of the Fiji Islands,4.7,2015-10-04 06:53:10.770,-23.6845,-179.9369,534.63
"34 km W of Lockwood, California",1.6,2015-10-04 06:47:24.100,35.8895,-121.4578333,11.872
"71 km N of Tierras Nuevas Poniente, Puerto Rico",2.6,2015-10-04 06:45:44.200,19.1068,-66.4783,13.0
"27 km E of Denali National Park, Alaska",0.7,2015-10-04 06:43:29.695,63.5137,-151.1834,15.1
"19 km N of Meadow Lakes, Alaska",1.0,2015-10-04 06:36:37.193,61.7965,-149.5829,42.2
"4 km NNE of Edmond, Oklahoma",2.5,2015-10-04 06:33:44.600,35.6896,-97.461,5.691
"4 km NNE of Edmond, Oklahoma",2.8,2015-10-04 06:27:05.500,35.6891,-97.4637,5.772
"52 km SSE of Cantwell, Alaska",1.3,2015-10-04 06:12:41.261,62.9336,-148.7131,64.1
"5km NE of Banning, CA",0.9,2015-10-04 06:12:00.730,33.9493333,-116.8358333,5.41
"4 km NNE of Edmond, Oklahoma",2.5,2015-10-04 06:06:35.000,35.6905,-97.4605,6.129
"6 km NNE of Irving, Texas",2.1,2015-10-04 05:57:09.220,32.8633,-96.9174,5.0
"5km ENE of Yucaipa, CA",1.22,2015-10-04 05:48:14.100,34.0555,-116.9996667,13.86
"48 km SSE of Nelchina, Alaska",1.2,2015-10-04 05:45:11.313,61.6035,-146.334,34.6
"54 km WNW of Ninilchik, Alaska",1.6,2015-10-04 05:42:05.360,60.2283,-152.5797,112.8
"21 km NNW of Four Mile Road, Alaska",0.2,2015-10-04 05:41:14.708,64.7814,-149.2721,18.3
"45 km W of Rincón, Puerto Rico",2.9,2015-10-04 05:28:08.800,18.412,-67.6764,10.0
"10 km W of Aspen Springs, California",0.18,2015-10-04 05:26:54.930,37.5478333,-118.8283333,3.505
south of the Kermadec Islands,4.5,2015-10-04 05:17:58.010,-33.5812,-177.964,10.0
"21 km E of Mono City, California",0.6,2015-10-04 05:15:55.949,38.0444,-118.8995,4.5
"78 km NNW of Amahai, Indonesia",4.7,2015-10-04 05:08:34.010,-2.6942,128.6359,42.41
"118 km NW of Yakutat, Alaska",1.2,2015-10-04 05:05:12.531,60.1848,-141.4092,0.0
"96 km NW of Yakutat, Alaska",0.9,2015-10-04 04:50:52.928,60.24,-140.7605,17.9
"75 km N of Tierras Nuevas Poniente, Puerto Rico",2.4,2015-10-04 04:49:17.600,19.1404,-66.5029,47.0
"73 km N of Tierras Nuevas Poniente, Puerto Rico",2.8,2015-10-04 04:48:30.000,19.1245,-66.4935,40.0
"133 km ESE of Nikolski, Alaska",1.8,2015-10-04 04:41:11.865,52.5418,-166.9954,15.6
"57 km SE of King Salmon, Alaska",2.3,2015-10-04 04:33:04.905,58.264,-156.0975,156.3
"169 km ESE of Naze, Japan",4.3,2015-10-04 04:19:06.250,28.0444,131.1677,41.49
"59 km W of Cantwell, Alaska",0.8,2015-10-04 04:16:19.911,63.353,-150.1338,11.3
"33 km WNW of Anchor Point, Alaska",1.5,2015-10-04 04:15:48.556,59.909,-152.3744,82.8
"9 km NNE of Helena Valley Northwest, Montana",2.09,2015-10-04 04:11:56.940,46.8003333,-112.0058333,5.37
"115 km NW of Yakutat, Alaska",0.9,2015-10-04 04:10:03.063,60.1831,-141.3583,0.0
"19 km SE of Moapa Valley, Nevada",2.1,2015-10-04 04:07:27.409,36.4629,-114.3049,0.0
"16 km E of Chistochina, Alaska",1.2,2015-10-04 04:06:50.836,62.5793,-144.3364,9.5
"12km E of Coso Junction, CA",0.44,2015-10-04 04:05:19.950,36.0288333,-117.8148333,1.68
"8 km W of Cobb, California",1.04,2015-10-04 03:59:56.970,38.8255005,-122.822998,1.506
"5 km SW of Cobb, California",1.23,2015-10-04 03:56:55.690,38.7891667,-122.774,2.874
"7 km NNE of Helena Valley Northwest, Montana",3.3,2015-10-04 03:52:24.160,46.787,-112.0203333,4.28
"3 km SSE of Fox, Alaska",0.4,2015-10-04 03:52:00.721,64.9246,-147.593,7.7
"83 km WSW of Coquimbo, Chile",5.5,2015-10-04 03:49:49.460,-30.3105,-72.1018,5.89
"5 km SE of Floriston, California",0.2,2015-10-04 03:41:48.769,39.364,-119.9653,6.3
"1 km W of Elmendorf Air Force Base, Alaska",0.8,2015-10-04 03:32:56.376,61.2573,-149.6629,35.9
"8 km NNE of Helena Valley Northwest, Montana",2.87,2015-10-04 03:31:19.440,46.7965,-112.0126667,9.18
"7 km NNE of Mayfield, Kansas",2.25,2015-10-04 03:28:30.720,37.324,-97.5131667,1.32
"13 km SSE of Eatonton, Georgia",1.98,2015-10-04 03:22:17.640,33.2181667,-83.3128333,3.03
"62 km N of Petersville, Alaska",1.2,2015-10-04 03:20:41.088,63.0601,-150.8521,123.2
"44 km SSE of Denali National Park, Alaska",0.8,2015-10-04 03:13:52.607,63.2111,-151.2372,8.8
"3km SW of Idyllwild, CA",0.75,2015-10-04 03:08:56.860,33.724,-116.7465,15.32
"7 km S of Cobb, California",1.41,2015-10-04 03:08:52.130,38.7528333,-122.72,1.534
"10km S of Westmorland, CA",1.21,2015-10-04 02:52:23.950,32.951,-115.634,17.64
"0km NW of Brawley, CA",1.18,2015-10-04 02:51:53.770,32.9818333,-115.5335,7.09
"8 km W of Cobb, California",1.47,2015-10-04 02:47:57.980,38.8243333,-122.822,1.686
"54 km NNW of Lake Minchumina, Alaska",1.0,2015-10-04 02:40:12.746,64.3624,-152.557,7.0
"122 km WNW of Abepura, Indonesia",4.5,2015-10-04 02:39:16.760,-2.3109,139.565,15.24
"18 km ESE of Naalehu, Hawaii",2.09,2015-10-04 02:37:02.190,19.024,-155.4126667,36.75
"3 km WNW of Walker Lake, Nevada",0.1,2015-10-04 02:36:50.009,38.6538,-118.7892,13.6
"70 km NE of Cruz Bay, U.S. Virgin Islands",2.6,2015-10-04 02:10:13.900,18.7735,-64.3186,36.0
"96 km NW of Yakutat, Alaska",1.0,2015-10-04 02:06:51.781,60.234,-140.7631,15.1
"18 km ESE of Naalehu, Hawaii",1.92,2015-10-04 02:02:20.010,19.0195,-155.4113333,36.1
"57 km SSW of Unalaska, Alaska",1.6,2015-10-04 01:58:34.049,53.4224,-166.9427,64.6
"31 km NNW of Susitna, Alaska",1.6,2015-10-04 01:54:58.654,61.8091,-150.7126,53.0
"21km ENE of Coso Junction, CA",0.51,2015-10-04 01:54:44.410,36.0948333,-117.7213333,2.32
"22km ENE of Coso Junction, CA",0.97,2015-10-04 01:53:30.260,36.0946667,-117.7163333,1.91
"20 km ESE of Fox River, Alaska",1.1,2015-10-04 01:50:47.572,59.7671,-150.6389,37.4
"8 km NE of Gilroy, California",0.7,2015-10-04 01:50:32.760,37.0601667,-121.5038333,4.141
"6km NW of Anza, CA",0.4,2015-10-04 01:44:12.760,33.5961667,-116.7163333,2.89
"Kenai Peninsula, Alaska",1.4,2015-10-04 01:36:24.508,60.9745,-151.523,70.1
"10 km WNW of Aspen Springs, California",2.26,2015-10-04 01:07:14.490,37.594,-118.8246667,3.641
"75 km SW of Haines Junction, Canada",0.9,2015-10-04 00:56:10.628,60.2925,-138.5321,12.0
"38 km WSW of Unalaska, Alaska",1.4,2015-10-04 00:52:36.225,53.6957,-167.0425,14.3
"8km NW of Anza, CA",0.37,2015-10-04 00:46:02.600,33.5991667,-116.7366667,12.41
"26km WNW of Inyokern, CA",0.64,2015-10-04 00:38:40.420,35.6966667,-118.0978333,0.1
"38 km E of Vanimo, Papua New Guinea",4.1,2015-10-04 00:27:19.890,-2.6665,141.6471,10.0
"13 km SSE of Yosemite Valley, California",2.62,2015-10-04 00:22:03.610,37.635,-119.5003333,22.848
"5km WSW of Idyllwild, CA",0.69,2015-10-04 00:12:04.860,33.7186667,-116.7615,16.13
"11 km ESE of Chester, Oklahoma",2.6,2015-10-03 23:59:21.100,36.1908,-98.7973,5.0
"6 km W of Honoka‘a, Hawaii",1.6,2015-10-03 23:57:10.250,20.0793333,-155.5275,12.307
"2 km SSW of Mount Pleasant, Utah",1.23,2015-10-03 23:57:10.000,39.529,-111.4641667,7.53
"44 km E of Denali National Park, Alaska",1.1,2015-10-03 23:52:08.369,63.5622,-150.8278,8.5
"6 km NW of P?hala, Hawaii",1.5,2015-10-03 23:51:32.850,19.2498333,-155.519,6.58
"10km ENE of Coso Junction, CA",0.29,2015-10-03 23:39:50.440,36.0726667,-117.8466667,2.19
"13 km E of Fox, Alaska",1.5,2015-10-03 23:34:48.374,64.9813,-147.3434,0.0
"21km NW of Ludlow, CA",2.74,2015-10-03 23:31:36.850,34.8291667,-116.3453333,7.4
"3 km NNE of Edmond, Oklahoma",2.3,2015-10-03 23:23:40.900,35.6857,-97.4682,6.059
"164 km W of Illapel, Chile",3.9,2015-10-03 23:23:31.640,-31.6756,-72.9083,10.0
"49 km SW of Ashk?sham, Afghanistan",4.1,2015-10-03 23:17:16.460,36.3869,71.119,102.05
"2km S of Aguanga, CA",0.63,2015-10-03 23:08:02.730,33.4211667,-116.8668333,11.41
"41 km NW of Ninilchik, Alaska",1.5,2015-10-03 22:58:30.984,60.3356,-152.1588,84.5
"32 km SE of Al Marj, Libya",4.1,2015-10-03 22:47:55.840,32.2654,21.0389,10.0
"60 km SSW of Cantwell, Alaska",0.9,2015-10-03 22:43:10.700,62.8573,-149.2036,21.9
"5 km SW of Cobb, California",0.98,2015-10-03 22:37:29.250,38.7878333,-122.7725,1.68
"56 km W of Umatac Village, Guam",4.5,2015-10-03 22:33:40.380,13.2632,144.1405,139.17
"50 km SE of Adak, Alaska",1.9,2015-10-03 22:25:31.823,51.5038,-176.1991,42.7
"6 km NE of Puako, Hawaii",2.92,2015-10-03 22:24:39.090,20.0145,-155.7928333,28.043
"114 km NW of Yakutat, Alaska",1.0,2015-10-03 22:21:22.171,60.1569,-141.367,0.0
"18 km ESE of Naalehu, Hawaii",2.84,2015-10-03 22:19:44.930,19.0271667,-155.4128333,35.32
"57 km WNW of Anchor Point, Alaska",2.4,2015-10-03 21:53:58.400,59.9741,-152.7716,93.8
"10 km NNW of Hollister, California",1.27,2015-10-03 21:49:20.480,36.9413333,-121.4388333,0.209
Northern California,1.45,2015-10-03 21:48:09.100,38.791,-122.746,-0.226
"10km ENE of Coso Junction, CA",1.46,2015-10-03 21:47:05.280,36.0833333,-117.8441667,0.93
"9 km NNE of Helena Valley Northwest, Montana",1.05,2015-10-03 21:38:07.320,46.8023333,-112.0071667,6.56
"6 km NE of Puako, Hawaii",2.15,2015-10-03 21:36:29.570,20.01,-155.7948333,28.024
"46 km W of Nanwalek, Alaska",1.9,2015-10-03 21:36:14.259,59.3081,-152.7326,86.9
"56 km SSE of Denali National Park, Alaska",0.8,2015-10-03 21:35:48.493,63.052,-151.4645,14.0
"45 km E of Fort Bidwell, California",1.1,2015-10-03 21:25:10.077,41.8794,-119.6036,5.1
"54 km NNE of Petersville, Alaska",1.7,2015-10-03 21:15:43.285,62.957,-150.3947,104.6
"17 km SW of Do?anyol, Turkey",4.0,2015-10-03 21:08:03.000,38.179,38.921,8.8
"27 km W of Kalifornsky, Alaska",1.5,2015-10-03 21:02:40.795,60.4664,-151.7783,72.4
"45 km E of Fort Bidwell, California",1.6,2015-10-03 20:57:14.164,41.8748,-119.6033,6.3
"22 km WSW of Tyonek, Alaska",1.2,2015-10-03 20:53:56.664,60.988,-151.5099,75.2
"8km SW of Holtville, CA",1.61,2015-10-03 20:45:18.510,32.7711667,-115.4496667,9.71
"58 km NNE of Keeler, California",0.3,2015-10-03 20:42:16.511,36.9444,-117.5523,11.5
"51 km E of Pedro Bay, Alaska",2.0,2015-10-03 20:37:21.178,59.8435,-153.1907,124.9
"12km SSW of Borrego Springs, CA",1.01,2015-10-03 20:36:24.390,33.1598333,-116.4366667,11.2
south of the Kermadec Islands,4.5,2015-10-03 20:30:47.290,-33.326,-178.6367,10.0
"33 km NE of Amboy, Washington",0.67,2015-10-03 20:30:15.370,46.1081667,-122.115,9.33
"24 km SW of Salcha, Alaska",1.1,2015-10-03 20:22:36.599,64.3871,-147.2966,7.6
"21km N of Borrego Springs, CA",0.81,2015-10-03 20:17:22.480,33.4393333,-116.4171667,15.76
Kermadec Islands region,4.2,2015-10-03 19:57:07.310,-28.4156,-178.562,267.28
"116 km SSE of Old Harbor, Alaska",2.6,2015-10-03 19:54:02.424,56.2103,-152.711,21.8
"91 km SW of Cañete, Chile",4.6,2015-10-03 19:53:27.210,-38.3206,-74.2029,10.0
"3 km W of La Porte, California",1.48,2015-10-03 19:51:13.690,39.6811667,-121.022,0.354
"7km ENE of Lake Isabella, CA",1.3,2015-10-03 19:48:58.710,35.6418333,-118.3991667,8.16
"12 km WSW of Aspen Springs, California",0.46,2015-10-03 19:48:17.390,37.4935,-118.8385,4.124
"51 km N of La Serena, Chile",4.4,2015-10-03 19:43:21.150,-29.4375,-71.2152,41.46
"near the east coast of Honshu, Japan",4.4,2015-10-03 19:35:45.890,38.2148,141.9009,39.98
"38 km SSE of Morton, Washington",0.34,2015-10-03 19:33:57.570,46.2416667,-122.0635,9.28
"13km E of Coso Junction, CA",0.63,2015-10-03 19:32:32.720,36.0235,-117.8108333,1.5
"13km SE of Anza, CA",1.25,2015-10-03 19:30:47.200,33.4746667,-116.5655,7.6
"38 km SSE of Morton, Washington",0.8,2015-10-03 19:19:04.560,46.2481667,-122.0596667,9.94
"37 km SSE of Morton, Washington",1.47,2015-10-03 19:17:18.440,46.252,-122.0566667,9.97
"53 km NNE of Yakutat, Alaska",1.6,2015-10-03 19:17:02.865,60.0136,-139.5056,0.0
"58 km ENE of Independence, California",0.4,2015-10-03 19:16:42.112,36.9548,-117.5742,6.3
"41 km NW of Ninilchik, Alaska",1.6,2015-10-03 19:13:56.453,60.2991,-152.2257,94.2
"28 km SW of Ovalle, Chile",4.2,2015-10-03 18:59:37.000,-30.779,-71.414,48.9
"137 km NNW of Finschhafen, Papua New Guinea",4.3,2015-10-03 18:58:39.490,-5.3728,147.464,158.41
"43 km SE of Denali National Park, Alaska",1.5,2015-10-03 18:55:58.723,63.2234,-151.2331,0.6
"6km NNW of San Jacinto, CA",0.6,2015-10-03 18:48:26.360,33.8273333,-116.9906667,11.08
"7km WNW of Anza, CA",0.24,2015-10-03 18:35:27.270,33.5915,-116.7406667,12.37
"3 km SW of Cobb, California",0.99,2015-10-03 18:33:45.950,38.7951667,-122.7516667,0.71
"40 km E of Denali National Park, Alaska",0.8,2015-10-03 18:29:57.335,63.4987,-150.925,15.8
"48 km W of Ovalle, Chile",4.0,2015-10-03 18:27:52.100,-30.6127,-71.7054,25.38
"67 km NNE of Petersville, Alaska",1.4,2015-10-03 18:16:18.552,63.0776,-150.4298,104.7
"120 km NW of Yakutat, Alaska",1.3,2015-10-03 18:13:44.214,60.243,-141.367,0.0
"116 km NW of Yakutat, Alaska",1.1,2015-10-03 18:11:49.330,60.1581,-141.412,0.0
"50 km S of Tanana, Alaska",0.7,2015-10-03 18:10:14.886,64.7272,-151.9089,13.7
"8km E of Borrego Springs, CA",2.38,2015-10-03 18:01:53.170,33.253,-116.2938333,11.25
"27 km W of Hebgen Lake Estates, Montana",0.83,2015-10-03 18:01:38.670,44.8158333,-111.5371667,11.85
"60 km ENE of Aras-asan, Philippines",4.4,2015-10-03 17:57:20.110,9.1375,126.8055,11.32
"46 km SSE of Denali National Park, Alaska",0.7,2015-10-03 17:53:36.645,63.1374,-151.454,5.6
"67 km E of Cantwell, Alaska",1.8,2015-10-03 17:46:56.765,63.4845,-147.6083,0.5
